radius is 5.5 mm
    cutoff for TE0,1 mode is 33.240712241210936 GHz
    cutoff for TE0,2 mode is 60.86142817535928 GHz
        cutoff for TE0,3 mode is 88.25659625305286 GHz
    cutoff for TE0,4 mode is 115.58533277070326 GHz
    cutoff for TE1,1 mode is 15.972587858846254 GHz
    cutoff for TE1,2 mode is 46.25118848972726 GHz
    cutoff for TE1,3 mode is 74.05402140456691 GHz
    cutoff for TE1,4 mode is 101.55161786604847 GHz
    cutoff for TE2,1 mode is 26.496033786486336 GHz
    cutoff for TE2,2 mode is 58.17686573329451 GHz
    cutoff for TE2,3 mode is 86.48685825112754 GHz
    cutoff for TE2,4 mode is 114.25524587195338 GHz
    cutoff for TE3,1 mode is 36.44604094098322 GHz
    cutoff for TE3,2 mode is 69.53356426171096 GHz
    cutoff for TE3,3 mode is 98.42785643167717 GHz
    cutoff for TE3,4 mode is 126.53475747991591 GHz
    cutoff for TE4,1 mode is 46.13069339434087 GHz
    cutoff for TE4,2 mode is 80.52639378520063 GHz
    cutoff for TE4,3 mode is 110.01774992355382 GHz
    cutoff for TE4,4 mode is 138.4913906116804 GHz
    cutoff for TE5,1 mode is 55.65658206789402 GHz
    cutoff for TE5,2 mode is 91.26161319282971 GHz
    cutoff for TE5,3 mode is 121.34128138552705 GHz
    cutoff for TE5,4 mode is 150.19190399565136 GHz
    cutoff for TE6,1 mode is 65.07478164918518 GHz
    cutoff for TE6,2 mode is 101.80259973381698 GHz
    cutoff for TE6,3 mode is 132.45411582737208 GHz
    cutoff for TE6,4 mode is 161.68304270025843 GHz
    cutoff for TE7,1 mode is 74.41421565679637 GHz
    cutoff for TE7,2 mode is 112.19068812687732 GHz
    cutoff for TE7,3 mode is 143.39510890527802 GHz
    cutoff for TE7,4 mode is 172.99902823091983 GHz
        cutoff for TE8,1 mode is 83.69305199528281 GHz
    cutoff for TE8,2 mode is 122.45456874786073 GHz
    cutoff for TE8,3 mode is 154.19263248609127 GHz
    cutoff for TE8,4 mode is 184.16579123836405 GHz
    cutoff for TE9,1 mode is 92.92354295166223 GHz
    cutoff for TE9,2 mode is 132.61509412640655 GHz
    cutoff for TE9,3 mode is 164.8681370559558 GHz
    cutoff for TE9,4 mode is 195.2035270754148 GHz
    cutoff for TE10,1 mode is 102.1143917119779 GHz
    cutoff for TE10,2 mode is 142.687968347735 GHz
    cutoff for TE10,3 mode is 175.43829642945875 GHz
    cutoff for TE10,4 mode is 206.1283210919558 GHz
radius is 5.4 mm
    cutoff for TE0,1 mode is 33.85628098641854 GHz
    cutoff for TE0,2 mode is 61.988491660088144 GHz
        cutoff for TE0,3 mode is 89.89097766514642 GHz
    cutoff for TE0,4 mode is 117.72580189608662 GHz
    cutoff for TE1,1 mode is 16.26837652289896 GHz
